Frame, Frame Full, Scene
913, 0.016433, 0.000108
914, 0.016756, 9.6e-05
915, 0.016532, 0.000209
916, 0.017024, 0.000109
917, 0.016407, 9.8e-05
918, 0.016724, 0.000111
919, 0.016941, 0.000105
920, 0.016524, 0.0001
921, 0.01716, 0.00013
922, 0.016889, 9.8e-05
923, 0.015984, 9.8e-05
924, 0.017016, 0.000127
925, 0.016418, 0.000102
926, 0.016951, 0.00012
927, 0.016749, 0.000107
928, 0.016772, 9.9e-05
929, 0.016348, 0.000104
930, 0.016474, 0.000109
931, 0.017052, 9.6e-05
932, 0.01658, 0.000105
933, 0.016852, 9.9e-05
934, 0.016651, 0.000101
935, 0.016369, 0.000106
936, 0.016677, 9.6e-05
937, 0.016651, 0.00011
938, 0.016808, 0.000103
939, 0.016527, 9.8e-05
940, 0.017097, 0.000107
941, 0.016384, 0.000144
942, 0.016797, 0.0001
943, 0.016631, 0.000111
944, 0.016955, 9.6e-05
945, 0.016355, 0.0001
946, 0.017112, 0.000122
947, 0.016532, 9.7e-05
948, 0.017304, 0.000121
949, 0.016417, 0.00011
950, 0.016404, 9.9e-05
951, 0.016552, 0.000106
952, 0.0165, 0.000106
953, 0.01675, 0.000102
954, 0.016599, 0.000108
955, 0.016951, 0.00011
956, 0.016458, 9.6e-05
957, 0.016668, 0.000108
958, 0.016723, 9.7e-05
959, 0.016978, 0.000137
960, 0.016377, 0.000105
961, 0.016872, 0.000103
